district_id,year,week_of_year,week_start,mean_temp,mean_humidity,total_rainfall,source
1,2000,1,2000-01-03,21.52,59.7,0.0,synthetic
1,2000,2,2000-01-10,21.55,66.9,0.0,synthetic
1,2000,3,2000-01-17,22.04,67.0,0.0,synthetic
1,2000,4,2000-01-24,23.13,71.8,1.3,synthetic
1,2000,5,2000-01-31,24.52,69.3,0.0,synthetic
1,2000,6,2000-02-07,25.24,70.7,0.0,synthetic
1,2000,7,2000-02-14,25.97,71.3,0.0,synthetic
1,2000,8,2000-02-21,26.32,70.8,5.1,synthetic
1,2000,9,2000-02-28,26.97,75.5,5.2,synthetic
1,2000,10,2000-03-06,25.82,73.2,0.0,synthetic
1,2000,11,2000-03-13,26.1,78.6,0.0,synthetic
1,2000,12,2000-03-20,28.25,84.1,0.0,synthetic
1,2000,13,2000-03-27,27.6,81.8,1.8,synthetic
1,2000,14,2000-04-03,27.93,81.2,2.5,synthetic
1,2000,15,2000-04-10,29.17,77.7,0.0,synthetic
1,2000,16,2000-04-17,32.02,83.7,0.0,synthetic
1,2000,17,2000-04-24,29.59,92.6,0.0,synthetic
1,2000,18,2000-05-01,33.55,83.4,16.8,synthetic
1,2000,19,2000-05-08,30.83,86.7,35.6,synthetic
1,2000,20,2000-05-15,31.84,83.7,36.7,synthetic
1,2000,21,2000-05-22,31.75,89.4,55.6,synthetic
1,2000,22,2000-05-29,32.42,87.9,50.1,synthetic
1,2000,23,2000-06-05,34.73,94.0,76.2,synthetic
1,2000,24,2000-06-12,31.61,90.8,72.7,synthetic
1,2000,25,2000-06-19,31.55,85.2,79.0,synthetic
1,2000,26,2000-06-26,32.22,85.0,83.5,synthetic
1,2000,27,2000-07-03,31.89,85.3,89.2,synthetic
1,2000,28,2000-07-10,32.06,88.8,78.1,synthetic
1,2000,29,2000-07-17,31.38,79.2,90.2,synthetic
1,2000,30,2000-07-24,32.4,82.2,101.1,synthetic
1,2000,31,2000-07-31,29.97,82.4,85.6,synthetic
1,2000,32,2000-08-07,30.59,83.3,100.3,synthetic
1,2000,33,2000-08-14,30.62,78.1,87.3,synthetic
1,2000,34,2000-08-21,29.05,77.9,95.2,synthetic
