id,name,type,district_id,district,lat,lon,beds,dengue_beds,phone,email,dist_from_center_km
1,Bagerhat District Sadar Hospital,District Hospital,1,Bagerhat,22.14219,89.70408,170,42,+8801879356560,contact.bagerhat1@hospital.gov.bd,1.64
2,Bagerhat Upazila Health Complex 1,Upazila Health Complex,1,Bagerhat,22.16277,89.87173,43,10,+8801887218296,contact.bagerhat2@hospital.gov.bd,16.58
3,Bagerhat Upazila Health Complex 2,Upazila Health Complex,1,Bagerhat,22.08109,89.76968,48,12,+8801880407442,contact.bagerhat3@hospital.gov.bd,10.26
4,Bagerhat Upazila Health Complex 3,Upazila Health Complex,1,Bagerhat,22.1682,89.59924,41,10,+8801834530333,contact.bagerhat4@hospital.gov.bd,11.58
5,Bandarban District Sadar Hospital,District Hospital,2,Bandarban,21.70329,92.22362,137,34,+8801840990063,contact.bandarban5@hospital.gov.bd,3.04
6,Bandarban Upazila Health Complex 1,Upazila Health Complex,2,Bandarban,21.48914,92.22393,41,10,+8801886651285,contact.bandarban6@hospital.gov.bd,24.75
7,Bandarban Upazila Health Complex 2,Upazila Health Complex,2,Bandarban,21.7427,92.27095,40,10,+8801822563399,contact.bandarban7@hospital.gov.bd,4.11
8,Bandarban Upazila Health Complex 3,Upazila Health Complex,2,Bandarban,21.40814,92.1875,49,12,+8801883666302,contact.bandarban8@hospital.gov.bd,34.24
9,Barguna District Sadar Hospital,District Hospital,3,Barguna,22.16151,90.12169,133,33,+8801832972115,contact.barguna9@hospital.gov.bd,1.53
10,Barguna Upazila Health Complex 1,Upazila Health Complex,3,Barguna,22.28662,90.03947,36,9,+8801871540112,contact.barguna10@hospital.gov.bd,17.32
11,Barguna Upazila Health Complex 2,Upazila Health Complex,3,Barguna,22.26544,90.06634,40,10,+8801810580421,contact.barguna11@hospital.gov.bd,13.83
12,Barguna Upazila Health Complex 3,Upazila Health Complex,3,Barguna,22.17257,90.14402,38,9,+8801833945775,contact.barguna12@hospital.gov.bd,1.67
13,Barisal District Sadar Hospital,District Hospital,4,Barisal,22.79027,90.44873,250,62,+8801874556994,contact.barisal13@hospital.gov.bd,2.9
14,Barisal Medical College Hospital,Medical College Hospital,4,Barisal,22.79424,90.49585,923,230,+8801867638365,contact.barisal14@hospital.gov.bd,6.51
15,Barisal Upazila Health Complex 1,Upazila Health Complex,4,Barisal,22.66957,90.44478,43,10,+8801863390732,contact.barisal15@hospital.gov.bd,16.03
16,Barisal Upazila Health Complex 2,Upazila Health Complex,4,Barisal,22.79083,90.51779,31,8,+8801845441501,contact.barisal16@hospital.gov.bd,8.77
17,Barisal Upazila Health Complex 3,Upazila Health Complex,4,Barisal,22.89355,90.60846,45,11,+8801849644550,contact.barisal17@hospital.gov.bd,19.8
18,Bhola District Sadar Hospital,District Hospital,5,Bhola,22.33603,90.73078,133,33,+8801823147034,contact.bhola18@hospital.gov.bd,2.17
19,Bhola Upazila Health Complex 1,Upazila Health Complex,5,Bhola,22.46169,90.8769,41,10,+8801845956319,contact.bhola19@hospital.gov.bd,18.53
20,Bhola Upazila Health Complex 2,Upazila Health Complex,5,Bhola,22.25848,90.8171,43,10,+8801829547352,contact.bhola20@hospital.gov.bd,13.27
21,Bhola Upazila Health Complex 3,Upazila Health Complex,5,Bhola,22.29826,90.7278,49,12,+8801887861052,contact.bhola21@hospital.gov.bd,6.3
22,Bogra District Sadar Hospital,District Hospital,6,Bogra,24.79041,89.28143,163,40,+8801890606562,contact.bogra22@hospital.gov.bd,0.72
23,Bogra Upazila Health Complex 1,Upazila Health Complex,6,Bogra,24.74458,89.24874,48,12,+8801827144249,contact.bogra23@hospital.gov.bd,6.79
24,Bogra Upazila Health Complex 2,Upazila Health Complex,6,Bogra,24.78145,89.26151,42,10,+8801826625107,contact.bogra24@hospital.gov.bd,2.88
25,Brahamanbaria District Sadar Hospital,District Hospital,7,Brahamanbaria,23.94461,91.1356,142,35,+8801846972476,contact.brahamanbaria25@hospital.gov.bd,2.19
26,Brahamanbaria Upazila Health Complex 1,Upazila Health Complex,7,Brahamanbaria,24.00733,91.08502,38,9,+8801887529464,contact.brahamanbaria26@hospital.gov.bd,9.83
27,Brahamanbaria Upazila Health Complex 2,Upazila Health Complex,7,Brahamanbaria,23.92647,91.19581,49,12,+8801838748356,contact.brahamanbaria27@hospital.gov.bd,7.12
28,Chandpur District Sadar Hospital,District Hospital,8,Chandpur,23.20187,90.70898,127,31,+8801874485397,contact.chandpur28@hospital.gov.bd,3.43
29,Chandpur Upazila Health Complex 1,Upazila Health Complex,8,Chandpur,23.25209,90.98292,31,8,+8801870409789,contact.chandpur29@hospital.gov.bd,27.61
30,Chandpur Upazila Health Complex 2,Upazila Health Complex,8,Chandpur,23.15753,90.7382,48,12,+8801886419872,contact.chandpur30@hospital.gov.bd,8.7
31,Chandpur Upazila Health Complex 3,Upazila Health Complex,8,Chandpur,23.21123,90.68884,33,8,+8801880918260,contact.chandpur31@hospital.gov.bd,3.45
32,Chittagong District Sadar Hospital,District Hospital,9,Chittagong,22.41873,91.84047,250,62,+8801876829473,contact.chittagong32@hospital.gov.bd,0.14
33,Chittagong Medical College Hospital,Medical College Hospital,9,Chittagong,22.42772,91.8142,999,249,+8801885833729,contact.chittagong33@hospital.gov.bd,2.78
34,Chittagong Upazila Health Complex 1,Upazila Health Complex,9,Chittagong,22.44305,91.85066,38,9,+8801853813720,contact.chittagong34@hospital.gov.bd,2.8
35,Chittagong Upazila Health Complex 2,Upazila Health Complex,9,Chittagong,22.40569,91.60021,48,12,+8801830303780,contact.chittagong35@hospital.gov.bd,24.69
36,Chuadanga District Sadar Hospital,District Hospital,10,Chuadanga,23.56208,88.79844,114,28,+8801837953310,contact.chuadanga36@hospital.gov.bd,3.02
37,Chuadanga Upazila Health Complex 1,Upazila Health Complex,10,Chuadanga,23.44792,88.91811,48,12,+8801822344371,contact.chuadanga37@hospital.gov.bd,14.77
38,Chuadanga Upazila Health Complex 2,Upazila Health Complex,10,Chuadanga,23.36496,88.97453,37,9,+8801827982354,contact.chuadanga38@hospital.gov.bd,25.58
39,Comilla District Sadar Hospital,District Hospital,11,Comilla,23.43115,91.03731,250,62,+8801889848219,contact.comilla39@hospital.gov.bd,2.34
40,Comilla Medical College Hospital,Medical College Hospital,11,Comilla,23.44424,90.99703,579,144,+8801847742949,contact.comilla40@hospital.gov.bd,2.43
